Wind Power Multiplier (MW),Installed Solar (MW),Installed Battery (MW),Renewable Energy (%),Cost ($/MWh)
0.0,8000.0,0.0,0.9182403925770485,46.61145098204492
0.0,8000.0,1.0,0.9182403925770485,46.6114571075933
0.0,8000.0,2.0,0.9182403925770485,46.611463233141684
0.0,8000.0,3.0,0.9182403925770485,46.61146935869007
0.0,8000.0,4.0,0.9182403925770485,46.611475484238454
0.0,8200.0,0.0,0.9186050134698955,46.618677173125576
0.0,8200.0,1.0,0.9186050134698955,46.61868329867396
0.0,8200.0,2.0,0.9186050134698955,46.61868942422234
0.0,8200.0,3.0,0.9186050134698955,46.61869554977072
0.0,8200.0,4.0,0.9186050134698955,46.6187016753191
0.0,8400.0,0.0,0.9189512690914541,46.62551228236767
0.0,8400.0,1.0,0.9189512690914541,46.625518407916054
0.0,8400.0,2.0,0.9189512690914541,46.625524533464436
0.0,8400.0,3.0,0.9189512690914541,46.62553065901282
0.0,8400.0,4.0,0.9189512690914541,46.6255367845612
0.0,8600.0,0.0,0.9192833503453047,46.632073687896735
0.0,8600.0,1.0,0.9192833503453047,46.63207981344512
0.0,8600.0,2.0,0.9192833503453047,46.6320859389935
0.0,8600.0,3.0,0.9192833503453047,46.63209206454188
0.0,8600.0,4.0,0.9192833503453047,46.63209819009026
0.0,8800.0,0.0,0.9195930788529916,46.63799652424143
0.0,8800.0,1.0,0.9195930788529916,46.63800264978981
0.0,8800.0,2.0,0.9195930788529916,46.63800877533819
0.0,8800.0,3.0,0.9195930788529916,46.63801490088658
0.0,8800.0,4.0,0.9195930788529916,46.63802102643496
1.0,8000.0,0.0,0.9397867692827002,48.25459677052523
1.0,8000.0,1.0,0.9397867692827002,48.254602896073614
1.0,8000.0,2.0,0.9397867692827002,48.254609021621995
1.0,8000.0,3.0,0.9397867692827002,48.25461514717038
1.0,8000.0,4.0,0.9397867692827002,48.25462127271876
1.0,8200.0,0.0,0.9400783737900809,48.25936419110997
1.0,8200.0,1.0,0.9400783737900809,48.25937031665835
1.0,8200.0,2.0,0.9400783737900809,48.25937644220673
1.0,8200.0,3.0,0.9400783737900809,48.25938256775511
1.0,8200.0,4.0,0.9400783737900809,48.2593886933035
1.0,8400.0,0.0,0.9403528942488981,48.26377668014751
1.0,8400.0,1.0,0.9403528942488981,48.26378280569589
1.0,8400.0,2.0,0.9403528942488981,48.26378893124427
1.0,8400.0,3.0,0.9403528942488981,48.26379505679265
1.0,8400.0,4.0,0.9403528942488981,48.263801182341034
1.0,8600.0,0.0,0.9406065556878681,48.26756465752141
1.0,8600.0,1.0,0.9406065556878681,48.26757078306979
1.0,8600.0,2.0,0.9406065556878681,48.267576908618175
1.0,8600.0,3.0,0.9406065556878681,48.267583034166556
1.0,8600.0,4.0,0.9406065556878681,48.26758915971494
1.0,8800.0,0.0,0.9408473644558485,48.271147611198614
1.0,8800.0,1.0,0.9408473644558485,48.271153736746996
1.0,8800.0,2.0,0.9408473644558485,48.27115986229538
1.0,8800.0,3.0,0.9408473644558485,48.27116598784376
1.0,8800.0,4.0,0.9408473644558485,48.27117211339215
2.0,8000.0,0.0,0.9555861749183207,49.6144490034316
2.0,8000.0,1.0,0.9555861749183207,49.61445512897999
2.0,8000.0,2.0,0.9555861749183207,49.61446125452837
2.0,8000.0,3.0,0.9555861749183207,49.61446738007675
2.0,8000.0,4.0,0.9555861749183207,49.614473505625135
2.0,8200.0,0.0,0.955808022920961,49.616912137522945
2.0,8200.0,1.0,0.955808022920961,49.61691826307133
2.0,8200.0,2.0,0.955808022920961,49.61692438861971
2.0,8200.0,3.0,0.955808022920961,49.61693051416809
2.0,8200.0,4.0,0.955808022920961,49.61693663971647
2.0,8400.0,0.0,0.9560073806324086,49.61857637881949
2.0,8400.0,1.0,0.9560073806324086,49.61858250436787
2.0,8400.0,2.0,0.9560073806324086,49.61858862991626
2.0,8400.0,3.0,0.9560073806324086,49.61859475546464
2.0,8400.0,4.0,0.9560073806324086,49.61860088101302
2.0,8600.0,0.0,0.956191337565738,49.619767176359204
2.0,8600.0,1.0,0.956191337565738,49.619773301907586
2.0,8600.0,2.0,0.956191337565738,49.61977942745597
2.0,8600.0,3.0,0.956191337565738,49.61978555300435
2.0,8600.0,4.0,0.956191337565738,49.61979167855273
2.0,8800.0,0.0,0.9563640243370335,49.620780449504004
2.0,8800.0,1.0,0.9563640243370335,49.620786575052385
2.0,8800.0,2.0,0.9563640243370335,49.62079270060077
2.0,8800.0,3.0,0.9563640243370335,49.62079882614915
2.0,8800.0,4.0,0.9563640243370335,49.62080495169753
3.0,8000.0,0.0,0.9664921650844455,50.73382581366125
3.0,8000.0,1.0,0.9664921650844455,50.73383193920964
3.0,8000.0,2.0,0.9664921650844455,50.73383806475802
3.0,8000.0,3.0,0.9664921650844455,50.7338441903064
3.0,8000.0,4.0,0.9664921650844455,50.73385031585478
3.0,8200.0,0.0,0.9666451797705483,50.73376325809095
3.0,8200.0,1.0,0.9666451797705483,50.733769383639334
3.0,8200.0,2.0,0.9666451797705483,50.733775509187716
3.0,8200.0,3.0,0.9666451797705483,50.7337816347361
3.0,8200.0,4.0,0.9666451797705483,50.73378776028448
3.0,8400.0,0.0,0.9667868746549885,50.73341215280603
3.0,8400.0,1.0,0.9667868746549885,50.733418278354414
3.0,8400.0,2.0,0.9667868746549885,50.733424403902795
3.0,8400.0,3.0,0.9667868746549885,50.73343052945118
3.0,8400.0,4.0,0.9667868746549885,50.73343665499956
3.0,8600.0,0.0,0.9669214296607337,50.73302848239101
